mbti_type,axis_group,summary_for_report,report_keywords,strength_context,caution_context,recommended_sentence,source_basis
ISTJ,SJ 현실-구조형,"현실적인 기준과 책임감을 바탕으로 일을 차분하게 정리하는 경향이 있다.","책임감;질서;신뢰;현실성","계획, 절차, 규칙이 중요한 상황에서 안정적으로 수행한다.","변화에 대한 반응이나 창의성 수준을 단정하지 않는다.","이번 달에는 ISTJ에 가까운 경향이 관찰됩니다. 답변 전반에서 현실적인 판단, 책임 있는 태도, 정리된 방식에 대한 선호가 비교적 뚜렷하게 나타났습니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
ISFJ,SJ 현실-구조형,"주변 사람과 환경을 세심하게 살피며 안정과 배려를 중시하는 경향이 있다.","배려;성실;안정;세심함","관계 유지, 세부 관리, 약속 이행에서 강점이 드러난다.","무조건 타인 중심적이라고 단정하지 않는다.","이번 달에는 ISFJ에 가까운 경향이 관찰됩니다. 답변에서는 익숙한 관계와 안정적인 환경을 중시하고, 세부 상황을 꼼꼼히 살피려는 흐름이 확인됩니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
INFJ,NF 가치-직관형,"사람과 상황의 의미를 깊게 해석하고, 가치 있는 방향을 찾으려는 경향이 있다.","통찰;가치;의미;방향성","장기적 의미, 관계의 동기, 개인적 가치 해석에 강점이 있다.","예언적이거나 특별한 능력이 있다는 식으로 표현하지 않는다.","이번 달에는 INFJ에 가까운 경향이 관찰됩니다. 대화에서는 표면적인 선택보다 그 안의 의미와 사람의 동기를 이해하려는 표현이 두드러집니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
INTJ,NT 사고-직관형,"장기적인 관점에서 구조를 설계하고 목표 달성을 위한 전략을 세우는 경향이 있다.","전략;독립성;구조화;목표","복잡한 문제를 큰 그림으로 보고 실행 체계로 옮기는 데 강점이 있다.","차갑거나 비사교적이라고 단정하지 않는다.","이번 달에는 INTJ에 가까운 경향이 관찰됩니다. 답변에서는 장기적 계획, 독립적인 판단, 효율적인 구조를 선호하는 흐름이 나타났습니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
ISTP,SP 현실-탐색형,"문제 상황에서 원인을 분석하고 실용적인 해결책을 빠르게 찾는 경향이 있다.","실용성;분석;유연성;문제해결","실제 상황에서 필요한 핵심을 파악하고 간결하게 대응한다.","감정 표현이 적다고 해서 공감 능력이 낮다고 해석하지 않는다.","이번 달에는 ISTP에 가까운 경향이 관찰됩니다. 답변에서는 복잡한 설명보다 실제로 작동하는 방법과 즉각적인 해결을 선호하는 모습이 보입니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
ISFP,SP 현실-탐색형,"현재의 경험과 개인적 가치를 중시하며 조용하고 유연하게 선택하는 경향이 있다.","감각;가치;유연함;조화","개인 취향, 현재 경험, 편안한 관계 안에서 강점이 드러난다.","소극적이거나 목표가 없다고 표현하지 않는다.","이번 달에는 ISFP에 가까운 경향이 관찰됩니다. 대화에서는 자신에게 편안한 방식과 개인적 가치, 현재의 감각적 경험을 중시하는 흐름이 확인됩니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
INFP,NF 가치-직관형,"자신이 중요하게 여기는 가치와 가능성을 기준으로 선택을 해석하는 경향이 있다.","가치;가능성;진정성;이해","사람의 잠재력, 의미 있는 선택, 내적 기준을 살피는 데 강점이 있다.","현실성이 부족하다고 단정하지 않는다.","이번 달에는 INFP에 가까운 경향이 관찰됩니다. 답변에서는 선택의 효율보다 개인적 의미와 진정성, 사람을 이해하려는 태도가 상대적으로 많이 나타났습니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
INTP,NT 사고-직관형,"관심 있는 주제의 원리와 논리를 깊게 탐색하고 설명하려는 경향이 있다.","논리;분석;탐구;추상화","아이디어의 구조를 파악하고 문제의 원인을 이론적으로 정리한다.","사회성이 낮거나 감정이 없다는 식으로 표현하지 않는다.","이번 달에는 INTP에 가까운 경향이 관찰됩니다. 답변에서는 관심 주제의 원리, 논리적 설명, 깊이 있는 탐색을 선호하는 흐름이 나타났습니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
ESTP,SP 현실-탐색형,"현재 상황에 빠르게 반응하고 직접 실행하면서 결과를 확인하는 경향이 있다.","실행;현실감;즉흥성;활동성","변화하는 상황에서 기회를 포착하고 행동으로 문제를 해결한다.","충동적이거나 가볍다고 단정하지 않는다.","이번 달에는 ESTP에 가까운 경향이 관찰됩니다. 답변에서는 긴 이론보다 지금 할 수 있는 행동과 실제 결과를 중시하는 모습이 비교적 뚜렷합니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
ESFP,SP 현실-탐색형,"사람들과의 경험과 현재의 즐거움을 중시하며 분위기에 자연스럽게 적응하는 경향이 있다.","친화력;경험;즐거움;적응","새로운 사람이나 환경 속에서 활기와 현실감을 만들어낸다.","깊은 사고가 부족하다고 표현하지 않는다.","이번 달에는 ESFP에 가까운 경향이 관찰됩니다. 대화에서는 사람들과 함께하는 경험, 즉각적인 즐거움, 자연스러운 적응을 선호하는 흐름이 보입니다.","Myers & Briggs Foundation 유형 설명 기반 재작성"
