edge_id,source_id,relation,target_id,weight,evidence_note,source_url
EDGE_ASPECT_MIND_INTUITIVE,ASPECT_MIND,HAS_POLE,TRAIT_INTUITIVE,1.0,"Mind 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ASPECT_MIND_OBSERVANT,ASPECT_MIND,HAS_POLE,TRAIT_OBSERVANT,1.0,"Mind 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ASPECT_ENERGY_EXTRAVERTED,ASPECT_ENERGY,HAS_POLE,TRAIT_EXTRAVERTED,1.0,"Energy 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ASPECT_ENERGY_INTROVERTED,ASPECT_ENERGY,HAS_POLE,TRAIT_INTROVERTED,1.0,"Energy 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ASPECT_NATURE_THINKING,ASPECT_NATURE,HAS_POLE,TRAIT_THINKING,1.0,"Nature 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ASPECT_NATURE_FEELING,ASPECT_NATURE,HAS_POLE,TRAIT_FEELING,1.0,"Nature 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ASPECT_TACTICS_JUDGING,ASPECT_TACTICS,HAS_POLE,TRAIT_JUDGING,1.0,"Tactics 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ASPECT_TACTICS_PROSPECTING,ASPECT_TACTICS,HAS_POLE,TRAIT_PROSPECTING,1.0,"Tactics 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ASPECT_IDENTITY_ASSERTIVE,ASPECT_IDENTITY,HAS_POLE,TRAIT_ASSERTIVE,1.0,"Identity 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ASPECT_IDENTITY_TURBULENT,ASPECT_IDENTITY,HAS_POLE,TRAIT_TURBULENT,1.0,"Identity 측면의 한쪽 극이다.","https://www.16personalities.com/articles/our-theory"
EDGE_ROLE_ANALYSTS_N,ROLE_ANALYSTS,COMBINES_TRAIT,TRAIT_INTUITIVE,1.0,"분석가형 역할군의 핵심 조합이다.","https://www.16personalities.com/personality-types"
EDGE_ROLE_ANALYSTS_T,ROLE_ANALYSTS,COMBINES_TRAIT,TRAIT_THINKING,1.0,"분석가형 역할군의 핵심 조합이다.","https://www.16personalities.com/personality-types"
EDGE_ROLE_DIPLOMATS_N,ROLE_DIPLOMATS,COMBINES_TRAIT,TRAIT_INTUITIVE,1.0,"외교관형 역할군의 핵심 조합이다.","https://www.16personalities.com/personality-types"
EDGE_ROLE_DIPLOMATS_F,ROLE_DIPLOMATS,COMBINES_TRAIT,TRAIT_FEELING,1.0,"외교관형 역할군의 핵심 조합이다.","https://www.16personalities.com/personality-types"
EDGE_ROLE_SENTINELS_S,ROLE_SENTINELS,COMBINES_TRAIT,TRAIT_OBSERVANT,1.0,"관리자형 역할군의 핵심 조합이다.","https://www.16personalities.com/personality-types"
EDGE_ROLE_SENTINELS_J,ROLE_SENTINELS,COMBINES_TRAIT,TRAIT_JUDGING,1.0,"관리자형 역할군의 핵심 조합이다.","https://www.16personalities.com/personality-types"
