chunk_id,type_code,type_name_en,type_name_ko,role_group,dimension,facet,trait_signal,rag_use,knowledge_text,source_url,source_section,copyright_note
FRAMEWORK_ASPECT_ENERGY,,,"",,framework,Energy / E-I,"Extraverted-Introverted","aspect_definition","Energy는 사람이 주변 환경 및 사회적 자극과 상호작용하는 방식을 설명한다. Extraverted 쪽은 집단 활동과 사회적 상호작용에서 에너지를 얻는 경향, Introverted 쪽은 혼자 하는 활동과 낮은 자극 환경을 선호하는 경향으로 해석한다.","https://www.16personalities.com/articles/our-theory","Five Personality Aspects > Energy","공개 자료를 한국어로 요약·재작성"
FRAMEWORK_ASPECT_MIND,,,"",,framework,Mind / N-S,"Intuitive-Observant","aspect_definition","Mind는 정보를 바라보고 처리하는 방식을 설명한다. Intuitive 쪽은 가능성, 새로움, 숨은 의미, 미래 지향적 상상을 중시하고, Observant 쪽은 실제 경험, 현재 또는 과거의 사실, 습관과 실용성을 중시한다.","https://www.16personalities.com/articles/our-theory","Five Personality Aspects > Mind","공개 자료를 한국어로 요약·재작성"
FRAMEWORK_ASPECT_NATURE,,,"",,framework,Nature / T-F,"Thinking-Feeling","aspect_definition","Nature는 의사결정과 감정 처리 방식을 설명한다. Thinking 쪽은 객관성, 논리, 효율을 우선하고, Feeling 쪽은 공감, 정서 표현, 협력과 사회적 조화를 더 중요하게 다룬다.","https://www.16personalities.com/articles/our-theory","Five Personality Aspects > Nature","공개 자료를 한국어로 요약·재작성"
FRAMEWORK_ASPECT_TACTICS,,,"",,framework,Tactics / J-P,"Judging-Prospecting","aspect_definition","Tactics는 일, 계획, 결정에 접근하는 방식을 설명한다. Judging 쪽은 구조, 예측 가능성, 명확한 결론을 선호하고, Prospecting 쪽은 유연성, 즉흥 대응, 선택지를 열어두는 방식을 선호한다.","https://www.16personalities.com/articles/our-theory","Five Personality Aspects > Tactics","공개 자료를 한국어로 요약·재작성"
FRAMEWORK_ASPECT_IDENTITY,,,"",,framework,Identity / A-T,"Assertive-Turbulent","aspect_definition","Identity는 자신의 능력과 결정에 대한 확신, 스트레스 반응, 자기 개선 압력을 설명한다. Assertive 쪽은 안정감과 자기 확신이 강하고, Turbulent 쪽은 민감성과 개선 욕구, 성취 압력이 더 크게 나타날 수 있다.","https://www.16personalities.com/articles/our-theory","Five Personality Aspects > Identity","공개 자료를 한국어로 요약·재작성"
ROLE_ANALYSTS,,,"",Analysts,role,NT Role,"Intuitive + Thinking","role_context","Analysts는 직관과 사고 성향이 결합된 역할군이다. 합리성, 독립성, 지적 탐구, 전략적 문제 해결을 중시하며, 아이디어와 시스템의 작동 원리를 분석하는 맥락에서 설명하기 좋다.","https://www.16personalities.com/articles/our-theory","Type Groups > Roles > Analysts","공개 자료를 한국어로 요약·재작성"
ROLE_DIPLOMATS,,,"",Diplomats,role,NF Role,"Intuitive + Feeling","role_context","Diplomats는 직관과 감정 성향이 결합된 역할군이다. 공감, 협력, 이상, 사람의 성장 가능성, 의미 중심의 선택을 설명할 때 유용하다.","https://www.16personalities.com/articles/our-theory","Type Groups > Roles > Diplomats","공개 자료를 한국어로 요약·재작성"
ROLE_SENTINELS,,,"",Sentinels,role,SJ Role,"Observant + Judging","role_context","Sentinels는 현실 관찰과 판단 성향이 결합된 역할군이다. 질서, 안정, 책임, 절차, 명확한 규칙, 실무적 관리 능력을 설명할 때 유용하다.","https://www.16personalities.com/articles/our-theory","Type Groups > Roles > Sentinels","공개 자료를 한국어로 요약·재작성"
ROLE_EXPLORERS,,,"",Explorers,role,SP Role,"Observant + Prospecting","role_context","Explorers는 현실 관찰과 탐색 성향이 결합된 역할군이다. 즉흥성, 유연성, 도구 활용, 현장 대응, 실제 경험 중심의 문제 해결을 설명할 때 유용하다.","https://www.16personalities.com/articles/our-theory","Type Groups > Roles > Explorers","공개 자료를 한국어로 요약·재작성"
STRATEGY_CONFIDENT_INDIVIDUALISM,,,"",,strategy,I___-A,"Introverted + Assertive","strategy_context","Confident Individualism은 내향성과 자기 확신이 결합된 전략이다. 혼자 판단하고 실행하는 선호, 타인의 평가보다 자신의 기준을 신뢰하는 맥락을 설명할 때 사용할 수 있다.","https://www.16personalities.com/articles/our-theory","Type Groups > Strategies > Confident Individualism","공개 자료를 한국어로 요약·재작성"
STRATEGY_PEOPLE_MASTERY,,,"",,strategy,E___-A,"Extraverted + Assertive","strategy_context","People Mastery는 외향성과 자기 확신이 결합된 전략이다. 사회적 상황에서의 자신감, 의견 표현, 타인과의 상호작용을 통한 목표 달성 맥락을 설명할 때 사용할 수 있다.","https://www.16personalities.com/articles/our-theory","Type Groups > Strategies > People Mastery","공개 자료를 한국어로 요약·재작성"
STRATEGY_CONSTANT_IMPROVEMENT,,,"",,strategy,I___-T,"Introverted + Turbulent","strategy_context","Constant Improvement는 내향성과 민감한 자기 점검이 결합된 전략이다. 조용한 성취 지향, 완성도에 대한 긴장, 자기 개선 욕구를 설명할 때 사용할 수 있다.","https://www.16personalities.com/articles/our-theory","Type Groups > Strategies > Constant Improvement","공개 자료를 한국어로 요약·재작성"
STRATEGY_SOCIAL_ENGAGEMENT,,,"",,strategy,E___-T,"Extraverted + Turbulent","strategy_context","Social Engagement는 외향성과 민감한 성취 욕구가 결합된 전략이다. 사회적 활동성, 타인의 평가에 대한 민감성, 높은 성취 동기를 함께 설명할 때 사용할 수 있다.","https://www.16personalities.com/articles/our-theory","Type Groups > Strategies > Social Engagement","공개 자료를 한국어로 요약·재작성"
INTJ_CORE,INTJ,Architect,전략가,Analysts,type_core,"core orientation","I;N;T;J","type_overview","INTJ는 독립적인 사고, 장기적 목표, 체계 설계, 전략적 문제 해결과 관련된 유형이다. 추상적인 가능성을 현실적인 계획으로 정리하고 비효율을 개선하려는 맥락에서 설명하기 좋다.","https://www.16personalities.com/intj-personality","Architect overview","공개 자료를 한국어로 요약·재작성"
INTJ_STRENGTH,INTJ,Architect,전략가,Analysts,type_facet,strengths,"strategy;systems;independence","strength_context","강점 맥락에서는 복잡한 문제를 큰 그림으로 보고, 논리적 구조를 세우며, 독립적으로 판단하는 능력을 강조할 수 있다.","https://www.16personalities.com/intj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
INTJ_CHALLENGE,INTJ,Architect,전략가,Analysts,type_facet,challenges,"perfectionism;distance;rigidity","caution_context","주의 맥락에서는 높은 기준이 타인에게 차갑게 느껴지거나, 감정적 신호를 놓칠 수 있다는 점을 부드럽게 다룬다. 단, 비사교적이거나 감정이 없다고 단정하지 않는다.","https://www.16personalities.com/intj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
INTJ_RELATION,INTJ,Architect,전략가,Analysts,type_facet,relationships,"directness;respect;depth","relationship_context","관계 맥락에서는 피상적 교류보다 상호 존중, 지적 대화, 분명한 의사소통을 선호하는 경향으로 설명할 수 있다.","https://www.16personalities.com/intj-personality","Relationships","공개 자료를 한국어로 요약·재작성"
INTJ_WORK,INTJ,Architect,전략가,Analysts,type_facet,work_style,"autonomy;planning;optimization","work_context","업무 맥락에서는 자율성, 장기 계획, 시스템 개선, 전문성 기반의 성과를 선호하는 자료로 사용할 수 있다.","https://www.16personalities.com/intj-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
INTP_CORE,INTP,Logician,논리술사,Analysts,type_core,"core orientation","I;N;T;P","type_overview","INTP는 개념, 원리, 논리적 일관성, 가능성 탐색과 관련된 유형이다. 즉각적인 결론보다 문제의 구조와 설명 가능성을 먼저 살피는 맥락에서 설명하기 좋다.","https://www.16personalities.com/intp-personality","Logician overview","공개 자료를 한국어로 요약·재작성"
INTP_STRENGTH,INTP,Logician,논리술사,Analysts,type_facet,strengths,"analysis;curiosity;originality","strength_context","강점 맥락에서는 호기심, 독창적 사고, 복잡한 주제의 원리 분석, 기존 가정에 대한 검토 능력을 강조할 수 있다.","https://www.16personalities.com/intp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
INTP_CHALLENGE,INTP,Logician,논리술사,Analysts,type_facet,challenges,"overthinking;detachment;follow-through","caution_context","주의 맥락에서는 생각이 길어져 실행이 늦어지거나, 정서적 맥락보다 논리 검토가 앞설 수 있음을 설명한다. 단, 사회성이 없다고 단정하지 않는다.","https://www.16personalities.com/intp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
INTP_RELATION,INTP,Logician,논리술사,Analysts,type_facet,relationships,"ideas;space;honesty","relationship_context","관계 맥락에서는 지적 자극, 개인적 공간, 솔직한 대화가 중요할 수 있다는 자료로 사용할 수 있다.","https://www.16personalities.com/intp-personality","Relationships","공개 자료를 한국어로 요약·재작성"
INTP_WORK,INTP,Logician,논리술사,Analysts,type_facet,work_style,"research;models;flexibility","work_context","업무 맥락에서는 연구, 분석 모델, 문제 원인 탐색, 자율적인 탐구 환경을 선호하는 경향으로 설명할 수 있다.","https://www.16personalities.com/intp-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ENTJ_CORE,ENTJ,Commander,통솔자,Analysts,type_core,"core orientation","E;N;T;J","type_overview","ENTJ는 목표 설정, 전략 수립, 조직화, 추진력과 관련된 유형이다. 큰 그림을 보고 자원과 사람을 정렬해 결과를 만들려는 맥락에서 설명하기 좋다.","https://www.16personalities.com/entj-personality","Commander overview","공개 자료를 한국어로 요약·재작성"
ENTJ_STRENGTH,ENTJ,Commander,통솔자,Analysts,type_facet,strengths,"leadership;efficiency;decisiveness","strength_context","강점 맥락에서는 결단력, 효율성, 리더십, 장기 목표를 실행 계획으로 바꾸는 능력을 강조할 수 있다.","https://www.16personalities.com/entj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ENTJ_CHALLENGE,ENTJ,Commander,통솔자,Analysts,type_facet,challenges,"impatience;dominance;emotional_blind_spots","caution_context","주의 맥락에서는 빠른 판단과 높은 기준이 주변 사람에게 압박으로 느껴질 수 있음을 다룬다. 단, 강압적이거나 공감 능력이 없다고 단정하지 않는다.","https://www.16personalities.com/entj-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ENTJ_RELATION,ENTJ,Commander,통솔자,Analysts,type_facet,relationships,"growth;directness;ambition","relationship_context","관계 맥락에서는 서로의 성장, 명확한 대화, 목표 지향적 협력을 중요하게 여길 수 있다는 자료로 사용할 수 있다.","https://www.16personalities.com/entj-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ENTJ_WORK,ENTJ,Commander,통솔자,Analysts,type_facet,work_style,"management;strategy;execution","work_context","업무 맥락에서는 관리, 전략, 의사결정, 성과 책임이 있는 역할에서 동기가 커질 수 있다는 자료로 사용할 수 있다.","https://www.16personalities.com/entj-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
ENTP_CORE,ENTP,Debater,변론가,Analysts,type_core,"core orientation","E;N;T;P","type_overview","ENTP는 새로운 관점, 아이디어 실험, 논리적 토론, 대안 탐색과 관련된 유형이다. 기존 방식을 재검토하고 더 나은 가능성을 찾는 맥락에서 설명하기 좋다.","https://www.16personalities.com/entp-personality","Debater overview","공개 자료를 한국어로 요약·재작성"
ENTP_STRENGTH,ENTP,Debater,변론가,Analysts,type_facet,strengths,"innovation;debate;adaptability","strength_context","강점 맥락에서는 빠른 아이디어 생성, 논리적 반박, 변화에 대한 적응, 새로운 해결책 제안을 강조할 수 있다.","https://www.16personalities.com/entp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ENTP_CHALLENGE,ENTP,Debater,변론가,Analysts,type_facet,challenges,"restlessness;argumentative_tone;unfinished_tasks","caution_context","주의 맥락에서는 새로운 자극을 선호해 마무리가 느슨해지거나, 토론 방식이 강하게 느껴질 수 있음을 설명한다. 단, 반항적이라고 단정하지 않는다.","https://www.16personalities.com/entp-personality","Strengths and Weaknesses","공개 자료를 한국어로 요약·재작성"
ENTP_RELATION,ENTP,Debater,변론가,Analysts,type_facet,relationships,"stimulation;humor;freedom","relationship_context","관계 맥락에서는 지적 자극, 유머, 자유로운 의견 교환이 중요할 수 있다는 자료로 사용할 수 있다.","https://www.16personalities.com/entp-personality","Relationships","공개 자료를 한국어로 요약·재작성"
ENTP_WORK,ENTP,Debater,변론가,Analysts,type_facet,work_style,"ideation;problem_reframing;experimentation","work_context","업무 맥락에서는 문제 재정의, 실험, 기획, 새로운 방식 제안이 필요한 환경에서 강점이 나타날 수 있다.","https://www.16personalities.com/entp-personality","Career Paths / Workplace Habits","공개 자료를 한국어로 요약·재작성"
